Row,x1,x2
TruckType,Liquid,Total
NewTruckEnergyZone28,29.744733278129843,29.744733278129843
RetTruckEnergyZone28,0.0,0.0
EndTruckEnergyZone28,29.744733278129843,29.744733278129843
StartTruckEnergyZone29,0,0
NewTruckEnergyZone29,0.02055082338411692,0.02055082338411692
RetTruckEnergyZone29,0.0,0.0
EndTruckEnergyZone29,0.02055082338411692,0.02055082338411692
StartTruckEnergyZone30,0,0
NewTruckEnergyZone30,0.0071227593331097995,0.0071227593331097995
RetTruckEnergyZone30,0.0,0.0
EndTruckEnergyZone30,0.0071227593331097995,0.0071227593331097995
StartTruckEnergyZone31,0,0
NewTruckEnergyZone31,0.0075772743497295675,0.0075772743497295675
RetTruckEnergyZone31,0.0,0.0
EndTruckEnergyZone31,0.0075772743497295675,0.0075772743497295675
StartTruckEnergyZone32,0,0
