Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
78,10000.0,100.40602,5558.110931,FR1 13,-3.25128578,48.2650637,FR1 2,-1.259489523,47.53739283
79,1.8655733999999998e-07,2.2648226e-09,11103.05098,FR1 14,0.590475004,48.90181715,FR1 2,-1.259489523,47.53739283
80,4.3821646e-07,5.832399e-09,2377.343656,FR1 14,0.590475004,48.90181715,FR1 3,2.424028616,50.53222179
81,6202.962399999999,49.226208,10306.2128,FR1 14,0.590475004,48.90181715,FR1 7,2.412112342,48.81161936
82,3425.7002,44.702625,4362.853663,FR1 15,3.785280059,47.87312765,FR1 16,4.896736931,46.04814359
83,1.4578445000000002e-07,1.6853894e-09,5159.691842,FR1 15,3.785280059,47.87312765,FR1 4,5.960518626,48.861879
84,4.3124349999999995e-06,3.727526e-08,19822.17287,FR1 15,3.785280059,47.87312765,FR1 7,2.412112342,48.81161936
85,3245.73,53.208,1195.257268,FR1 16,4.896736931,46.04814359,FR1 17,7.098681163,48.02632462
86,1336.2522999999999,20.318438,796.8381785,FR1 16,4.896736931,46.04814359,FR1 18,3.784670783,43.88377687
87,508.06934,7.6482105,5551.525491,FR1 16,4.896736931,46.04814359,FR1 9,5.073192987,43.77171846
88,1.0405201000000001e-05,7.736787e-08,7138.616409,FR1 17,7.098681163,48.02632462,FR1 4,5.960518626,48.861879
89,1569.5520999999999,15.873859,4369.439103,FR1 18,3.784670783,43.88377687,FR1 6,1.729674829,43.51121311
90,1109.6714000000002,6.860189,4369.439103,FR1 18,3.784670783,43.88377687,FR1 9,5.073192987,43.77171846
91,7403.141,84.106834,7537.035498,FR1 3,2.424028616,50.53222179,FR1 7,2.412112342,48.81161936
92,5937.1557,34.32345,6348.36367,FR1 5,6.28574034,43.77942318,FR1 9,5.073192987,43.77171846
93,10000.0,115.54203,398.4190892,FR1 5,6.28574034,43.77942318,IT1 5,7.804870669,45.15309588
94,6.956897e-07,7.1901205e-09,3174.181835,FR1 6,1.729674829,43.51121311,FR1 8,-0.428850811,43.53302298
95,1.6961339e-07,1.4745531e-09,3859.067542,GB0 0,-1.911525561,52.46122491,GB0 1,-0.47201781,53.45202885
96,3645.201,26.407965,4754.687313,GB0 0,-1.911525561,52.46122491,GB0 4,-2.583252,53.481137
97,9373.488,79.50333,2377.343656,GB0 0,-1.911525561,52.46122491,GB0 6,-3.314649048,51.51069342
98,3.7681507e-06,3.0378178e-08,7132.030969,GB0 0,-1.911525561,52.46122491,GB0 8,-1.438350688,51.27572538
99,2.565649e-07,2.8448786e-09,1481.723886,GB0 0,-1.911525561,52.46122491,GB0 9,-1.457966915,54.11853474
