region,Resource,zone,Cluster,R_ID,SubsidyRevenue
ES1 1,ES1 1 CCGT,22,0,164,0.0
ES1 1,ES1 1 OCGT,22,0,165,0.0
ES1 1,ES1 1 coal,22,0,166,0.0
ES1 1,ES1 1 lignite,22,0,167,0.0
ES1 1,ES1 1 nuclear,22,0,168,0.0
ES1 1,ES1 1 onwind,22,0,169,0.0
ES1 1,ES1 1 solar,22,0,170,0.0
ES1 2,ES1 2 CCGT,23,0,171,0.0
ES1 2,ES1 2 biomass,23,0,172,0.0
ES1 2,ES1 2 coal,23,0,173,0.0
ES1 2,ES1 2 lignite,23,0,174,0.0
ES1 2,ES1 2 offwind-ac,23,0,175,0.0
ES1 2,ES1 2 oil,23,0,176,0.0
ES1 2,ES1 2 onwind,23,0,177,0.0
ES1 2,ES1 2 solar,23,0,178,0.0
ES1 3,ES1 3 CCGT,24,0,179,0.0
ES1 3,ES1 3 OCGT,24,0,180,0.0
ES1 3,ES1 3 coal,24,0,181,0.0
ES1 3,ES1 3 nuclear,24,0,182,0.0
ES1 3,ES1 3 offwind-ac,24,0,183,0.0
ES1 3,ES1 3 oil,24,0,184,0.0
ES1 3,ES1 3 onwind,24,0,185,0.0
ES1 3,ES1 3 solar,24,0,186,0.0
ES1 4,ES1 4 CCGT,25,0,187,0.0
ES1 4,ES1 4 OCGT,25,0,188,0.0
ES1 4,ES1 4 nuclear,25,0,189,0.0
ES1 4,ES1 4 oil,25,0,190,0.0
ES1 4,ES1 4 onwind,25,0,191,0.0
ES1 4,ES1 4 ror,25,0,192,0.0
ES1 4,ES1 4 solar,25,0,193,0.0
ES1 5,ES1 5 CCGT,26,0,194,0.0
ES1 5,ES1 5 nuclear,26,0,195,0.0
ES1 5,ES1 5 oil,26,0,196,0.0
ES1 5,ES1 5 onwind,26,0,197,0.0
ES1 5,ES1 5 solar,26,0,198,0.0
ES1 6,ES1 6 CCGT,27,0,199,0.0
ES1 6,ES1 6 OCGT,27,0,200,0.0
ES1 6,ES1 6 offwind-ac,27,0,201,0.0
ES1 6,ES1 6 oil,27,0,202,0.0
ES1 6,ES1 6 onwind,27,0,203,0.0
ES1 6,ES1 6 solar,27,0,204,0.0
ES1 7,ES1 7 CCGT,28,0,205,0.0
ES1 7,ES1 7 coal,28,0,206,0.0
ES1 7,ES1 7 lignite,28,0,207,0.0
ES1 7,ES1 7 offwind-ac,28,0,208,0.0
ES1 7,ES1 7 oil,28,0,209,0.0
ES1 7,ES1 7 onwind,28,0,210,0.0
