Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
47,4078.238,47.774445,11103.05098,ES1 1,-0.498247314,40.7899949,ES1 4,1.532231515,41.6937861
48,2061.882,33.941597,1195.257268,ES1 1,-0.498247314,40.7899949,ES1 5,-3.650686811,40.1106101
49,1.1878294e-05,2.089604e-07,8725.707326,ES1 1,-0.498247314,40.7899949,ES1 6,-2.896801354,42.76489618
50,9446.42,171.12134,398.4190892,ES1 1,-0.498247314,40.7899949,FR1 8,-0.428850811,43.53302298
51,2.6002809e-06,6.083171e-08,1587.090917,ES1 2,-5.238705483,37.16218302,ES1 3,-1.068553391,38.46729399
52,5.881195e-06,1.2420885e-07,8327.288237,ES1 2,-5.238705483,37.16218302,ES1 5,-3.650686811,40.1106101
53,8.427928e-06,1.3142859e-07,7530.450059,ES1 2,-5.238705483,37.16218302,ES1 8,-6.151081793,39.41281179
54,1.8444183e-05,3.1507187e-07,5153.106402,ES1 3,-1.068553391,38.46729399,ES1 5,-3.650686811,40.1106101
55,10000.0,120.384636,1188.671828,ES1 4,1.532231515,41.6937861,FR1 6,1.729674829,43.51121311
56,4.1254538e-06,7.39218e-08,3566.015485,ES1 5,-3.650686811,40.1106101,ES1 6,-2.896801354,42.76489618
57,8.13712e-06,1.09859606e-07,10704.63189,ES1 5,-3.650686811,40.1106101,ES1 8,-6.151081793,39.41281179
58,7234.9443,93.509895,1587.090917,ES1 6,-2.896801354,42.76489618,FR1 8,-0.428850811,43.53302298
59,462.54146000000003,5.819125,3964.434574,FR1 0,2.285930386,46.41651176,FR1 11,-0.147786872,45.53878517
60,1.9689337e-06,1.8939158e-08,6746.782759,FR1 0,2.285930386,46.41651176,FR1 12,2.837637634,45.01155887
61,2768.754,32.505302,3566.015485,FR1 0,2.285930386,46.41651176,FR1 15,3.785280059,47.87312765
62,6.682565000000001e-07,8.132385e-09,2377.343656,FR1 0,2.285930386,46.41651176,FR1 16,4.896736931,46.04814359
63,708.5943,11.213123,2775.762746,FR1 0,2.285930386,46.41651176,FR1 7,2.412112342,48.81161936
64,1203.0827,22.555494,3566.015485,FR1 1,6.107274788,45.52201024,FR1 15,3.785280059,47.87312765
65,2.8650646e-05,1.8817073e-07,12298.30825,FR1 1,6.107274788,45.52201024,FR1 16,4.896736931,46.04814359
66,3290.8194000000003,56.378796,1188.671828,FR1 1,6.107274788,45.52201024,FR1 17,7.098681163,48.02632462
67,459.3052,5.298775,796.8381785,FR1 1,6.107274788,45.52201024,FR1 5,6.28574034,43.77942318
68,10000.0,82.4684,3566.015485,FR1 1,6.107274788,45.52201024,IT1 5,7.804870669,45.15309588
69,2.6010762e-06,3.3031327e-08,2775.762746,FR1 10,3.998921317,49.79126179,FR1 15,3.785280059,47.87312765
70,10000.0,82.64922,2775.762746,FR1 10,3.998921317,49.79126179,FR1 3,2.424028616,50.53222179
71,10000.0,104.35718,2775.762746,FR1 10,3.998921317,49.79126179,FR1 4,5.960518626,48.861879
72,1.5956595999999998e-05,1.5011994e-07,1195.257268,FR1 10,3.998921317,49.79126179,FR1 7,2.412112342,48.81161936
73,10000.0,141.29056,3572.600924,FR1 11,-0.147786872,45.53878517,FR1 2,-1.259489523,47.53739283
74,8.6757723e-07,1.3916632e-08,2775.762746,FR1 11,-0.147786872,45.53878517,FR1 6,1.729674829,43.51121311
75,10000.0,133.0959,2775.762746,FR1 11,-0.147786872,45.53878517,FR1 8,-0.428850811,43.53302298
76,1.4144319e-06,1.2280011e-08,2390.514535,FR1 12,2.837637634,45.01155887,FR1 18,3.784670783,43.88377687
77,4831.1357,54.13945,1587.090917,FR1 12,2.837637634,45.01155887,FR1 6,1.729674829,43.51121311
