Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes,Pipe_length_miles,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
23,0.0,0.051939555,0.002571265,31455.832,165.1248065363619,DE1 14,11.750300384615384,51.22456746153846,DE1 6,13.6417236,51.1474873
24,0.0,0.000773725,3.8303217e-05,632.30365,222.8170537351163,DE1 15,10.358713631896448,52.22589869741621,DE1 5,9.656115621028528,53.772222705953226
25,0.0,22.432375,1.1105137,11772060.0,143.0825181967328,DE1 15,10.358713631896448,52.22589869741621,DE1 9,8.718996773319988,52.01133541053488
26,0.0,0.41449004,0.020519309,277888.12,182.79538940010605,DE1 16,7.383087924978485,52.70033777690464,DE1 2,7.690041449570495,51.398817744468026
27,0.0,0.00029644754,1.467562e-05,239.84697,220.5950436523095,DE1 16,7.383087924978485,52.70033777690464,DE1 8,6.782045751405716,51.15711694730057
28,0.0,4.5930785e-05,2.273801e-06,25.004192,148.42885346805636,DE1 16,7.383087924978485,52.70033777690464,DE1 9,8.718996773319988,52.01133541053488
29,0.0,1.6828929,0.08331153,1160139.1,187.95892973661057,DE1 17,12.626970151251394,53.77264364752804,DE1 3,13.553525737215796,52.53973417915259
30,0.0,1.6883342,0.0835809,1511042.8,244.021272377514,DE1 17,12.626970151251394,53.77264364752804,DE1 5,9.656115621028528,53.772222705953226
31,0.0,74.81021,3.7034757,42561400.0,155.11878475372552,DE1 18,6.961294780838478,49.74481058636263,DE1 7,8.614807726224376,50.079091212058565
32,0.0,35.603203,1.7625347,25716792.0,196.9414297977336,DE1 18,6.961294780838478,49.74481058636263,DE1 8,6.782045751405716,51.15711694730057
33,0.0,139.25,6.893564,77936010.0,152.59922659092277,DE1 18,6.961294780838478,49.74481058636263,FR1 4,5.960518625870406,48.86187900010679
34,0.0,2.7496902e-05,1.3612328e-06,22.245777,220.58356912325235,DE1 19,10.723084073001646,49.88281742234528,DE1 4,11.399736085399406,48.35883243095018
35,0.0,12.260734,0.60696703,8561666.0,190.3930953423552,DE1 19,10.723084073001646,49.88281742234528,DE1 7,8.614807726224376,50.079091212058565
36,0.0,0.001440724,7.1322975e-05,1060.2924,200.6569475504952,DE1 2,7.690041449570495,51.398817744468026,DE1 7,8.614807726224376,50.079091212058565
37,0.0,2.923311,0.14471836,919893.44,85.79694787282119,DE1 2,7.690041449570495,51.398817744468026,DE1 8,6.782045751405716,51.15711694730057
38,0.0,0.0013809941,6.836605e-05,622.46014,122.89354380967706,DE1 2,7.690041449570495,51.398817744468026,DE1 9,8.718996773319988,52.01133541053488
39,0.0,6.597562e-05,3.2661198e-06,46.861656,193.6615966459989,DE1 3,13.553525737215796,52.53973417915259,DE1 6,13.6417236,51.1474873
40,0.0,3.1254454e-05,1.5472502e-06,29.46624,257.05269595978893,DE1 5,9.656115621028528,53.772222705953226,DE1 9,8.718996773319988,52.01133541053488
41,0.0,4.3920027e-05,2.1742587e-06,43.2872,268.7238914301739,DE1 7,8.614807726224376,50.079091212058565,DE1 9,8.718996773319988,52.01133541053488
42,0.0,3.8969963e-05,1.929206e-06,45.54243,318.63654169199424,ES1 0,-5.521155105994543,41.91726952615551,ES1 5,-3.650686811360254,40.11061009553195
43,0.0,63.855453,3.1611612,68905970.0,294.2172817957358,ES1 0,-5.521155105994543,41.91726952615551,ES1 6,-2.8968013540051976,42.7648961811579
44,0.0,58.183846,2.8803883,56179684.0,263.26083631128233,ES1 0,-5.521155105994543,41.91726952615551,ES1 7,-7.874534340432445,42.66362337417896
45,0.0,0.05303562,0.0026255257,68932.93,354.37937991618185,ES1 0,-5.521155105994543,41.91726952615551,ES1 8,-6.151081792593107,39.41281178823704
46,0.0,5.672115e-05,2.8079776e-06,68.35195,328.56041848720685,ES1 1,-0.498247313630633,40.78999490093028,ES1 3,-1.0685533905909534,38.46729399125504
47,0.0,54.67282,2.7065752,49448124.0,246.596959819154,ES1 1,-0.498247313630633,40.78999490093028,ES1 4,1.53223151519779,41.69378610486426
48,0.0,1.6189775,0.0801474,2057617.0,346.52379590885,ES1 1,-0.498247313630633,40.78999490093028,ES1 5,-3.650686811360254,40.11061009553195
49,0.0,5.9818496e-05,2.9613116e-06,81.24575,370.3177485329186,ES1 1,-0.498247313630633,40.78999490093028,ES1 6,-2.8968013540051976,42.7648961811579
50,0.0,5.100618,0.25250584,7133702.5,381.33049981738367,ES1 1,-0.498247313630633,40.78999490093028,FR1 8,-0.4288508114936827,43.533022984491794
51,0.0,3.646404e-05,1.8051505e-06,65.86123,492.46389833147066,ES1 2,-5.238705483289992,37.1621830158051,ES1 3,-1.0685533905909534,38.46729399125504
52,0.0,2.7631853e-05,1.3679136e-06,45.055954,444.5816711343212,ES1 2,-5.238705483289992,37.1621830158051,ES1 5,-3.650686811360254,40.11061009553195
53,0.0,8.925005e-05,4.4183193e-06,107.45652,328.27187366731505,ES1 2,-5.238705483289992,37.1621830158051,ES1 8,-6.151081792593107,39.41281178823704
54,0.0,0.2497496,0.012363842,329389.9,359.595999143162,ES1 3,-1.0685533905909534,38.46729399125504,ES1 5,-3.650686811360254,40.11061009553195
55,0.0,15.307576,0.7578008,14227636.0,253.416960921022,ES1 4,1.53223151519779,41.69378610486426,FR1 6,1.729674828609724,43.51121310716024
56,0.0,6.297381e-05,3.1175157e-06,87.11963,377.1945283469528,ES1 5,-3.650686811360254,40.11061009553195,ES1 6,-2.8968013540051976,42.7648961811579
57,0.0,4.5213095e-05,2.2382721e-06,47.128845,284.205125570832,ES1 5,-3.650686811360254,40.11061009553195,ES1 8,-6.151081792593107,39.41281178823704
58,0.0,0.00027793733,1.3759274e-05,277.3477,272.0739747935204,ES1 6,-2.8968013540051976,42.7648961811579,FR1 8,-0.4288508114936827,43.533022984491794
