Resource,Zone,StartCap,RetCap,NewCap,EndCap
CCGT-H2_19.0,19.0,0,5.514551791236881e-9,5.88859270649532e-5,5.888041251316197e-5
OCGT-H2_19.0,19.0,0,6.52550179245469e-9,2.5301323120305073e-5,2.529479761851262e-5
CCGT-H2_20.0,20.0,0,5.515211147665357e-9,5.800700556014796e-5,5.800149034900029e-5
OCGT-H2_20.0,20.0,0,6.526501381146967e-9,2.5339978078576385e-5,2.5333451577195237e-5
CCGT-H2_21.0,21.0,0,5.5046362375065264e-9,2.2603435214711546e-5,2.259793057847404e-5
OCGT-H2_21.0,21.0,0,6.513966891565728e-9,2.4276500174125556e-5,2.426998620723399e-5
CCGT-H2_22.0,22.0,0,5.5063691913713085e-9,1.9159294004095125e-5,1.9153787634903755e-5
OCGT-H2_22.0,22.0,0,6.517288461759161e-9,2.1868738135902618e-5,2.1862220847440858e-5
CCGT-H2_23.0,23.0,0,5.5050497144997875e-9,2.1749005312680324e-5,2.1743500262965823e-5
OCGT-H2_23.0,23.0,0,6.514731848084425e-9,2.4096389627334622e-5,2.408987489548654e-5
CCGT-H2_24.0,24.0,0,5.5081184029864174e-9,2.0022589424563762e-5,2.0017081306160777e-5
OCGT-H2_24.0,24.0,0,6.522020384699884e-9,2.233569594818722e-5,2.2329173927802522e-5
CCGT-H2_25.0,25.0,0,5.506898718484077e-9,1.938251580717826e-5,1.9377008908459776e-5
OCGT-H2_25.0,25.0,0,6.512985108618309e-9,2.1753205046350718e-5,2.17466920612421e-5
CCGT-H2_26.0,26.0,0,5.505511163856982e-9,1.9110748594004973e-5,1.9105243082841115e-5
OCGT-H2_26.0,26.0,0,6.514041976256538e-9,2.1824487191817867e-5,2.1817973149841612e-5
CCGT-H2_27.0,27.0,0,5.505415190757954e-9,2.058701293754804e-5,2.0581507522357282e-5
OCGT-H2_27.0,27.0,0,6.513607030558004e-9,2.1871852173222376e-5,2.1865338566191817e-5
CCGT-H2_28.0,28.0,0,5.505209687531119e-9,1.8155669497144008e-5,1.8150164287456476e-5
OCGT-H2_28.0,28.0,0,6.516130872312697e-9,2.0833320154851247e-5,2.0826804023978933e-5
CCGT-H2_29.0,29.0,0,5.50441275663548e-9,2.0035937539701584e-5,2.003043312694495e-5
OCGT-H2_29.0,29.0,0,6.509416648927386e-9,2.268849211210071e-5,2.268198269545178e-5
CCGT-H2_30.0,30.0,0,5.503799346349995e-9,2.0448765440692012e-5,2.044326164134566e-5
OCGT-H2_30.0,30.0,0,6.519541304296507e-9,2.313193328007395e-5,2.3125413738769654e-5
CCGT-H2_31.0,31.0,0,5.506954785851142e-9,3.268201270207252e-5,3.2676505747286664e-5
OCGT-H2_31.0,31.0,0,6.503325705468723e-9,2.2053895982878027e-5,2.204739265717256e-5
CCGT-H2_32.0,32.0,0,5.50539566372046e-9,3.1595380895407864e-5,3.1589875499744145e-5
OCGT-H2_32.0,32.0,0,6.500618920430664e-9,2.179129074073214e-5,2.178479012181171e-5
CCGT-H2_33.0,33.0,0,5.547730068654789e-9,0.0001087434347679519,0.00010873788703788325
OCGT-H2_33.0,33.0,0,6.572846909168275e-9,2.8349406158824522e-5,2.8342833311915352e-5
CCGT-H2_34.0,34.0,0,5.505912216958345e-9,3.3737410464793033e-5,3.373190455257608e-5
OCGT-H2_34.0,34.0,0,6.502977100324411e-9,2.222650633342469e-5,2.2220003356324364e-5
CCGT-H2_35.0,35.0,0,5.5049284871557966e-9,2.8114426681709057e-5,2.8108921753221902e-5
OCGT-H2_35.0,35.0,0,6.499325074894062e-9,2.1746785591438335e-5,2.174028626636344e-5
CCGT-H2_36.0,36.0,0,5.508493965604094e-9,3.546602332644805e-5,3.546051483248244e-5
OCGT-H2_36.0,36.0,0,6.500830453867109e-9,2.232018873712028e-5,2.2313687906666412e-5
CCGT-H2_37.0,37.0,0,5.547135255947606e-9,0.00013406607191877265,0.00013406052478351672
OCGT-H2_37.0,37.0,0,6.573873469703051e-9,2.8721635064620122e-5,2.871506119115042e-5
CCGT-H2_38.0,38.0,0,5.507376215702219e-9,4.4714206311254436e-5,4.470869893503873e-5
OCGT-H2_38.0,38.0,0,6.502317805603926e-9,2.3435617633163775e-5,2.3429115315358173e-5
CCGT-H2_39.0,39.0,0,5.506019567018791e-9,3.4328852782868065e-5,3.4323346763301047e-5
OCGT-H2_39.0,39.0,0,6.499665699470453e-9,2.197303398044096e-5,2.196653431474149e-5
CCGT-H2_40.0,40.0,0,5.507333985721147e-9,4.003533169695937e-5,4.002982436297365e-5
OCGT-H2_40.0,40.0,0,6.50114903194315e-9,2.2796005421504672e-5,2.278950427247273e-5
CCGT-H2_41.0,41.0,0,5.505961388972534e-9,2.599597086252826e-5,2.5990464901139287e-5
OCGT-H2_41.0,41.0,0,6.499605785353851e-9,2.1200616184828778e-5,2.1194116579043423e-5
CCGT-H2_42.0,42.0,0,5.510180786763053e-9,4.7047772406860794e-5,4.7042262226074033e-5
OCGT-H2_42.0,42.0,0,6.507318903000804e-9,2.3149205973466417e-5,2.3142698654563415e-5
