Line,Existing_Trans_Capacity,New_Trans_Capacity,Total_Pipes,Fixed_Cost_Pipes,Pipe_length_miles,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
43,0.0,2.2576485,0.111764774,2436212.2,294.2172817957358,ES1 0,-5.521155105994543,41.91726952615551,ES1 6,-2.8968013540051976,42.7648961811579
44,0.0,10.922477,0.5407167,10546249.0,263.26083631128233,ES1 0,-5.521155105994543,41.91726952615551,ES1 7,-7.874534340432445,42.66362337417896
45,0.0,0.34530318,0.017094217,448807.03,354.37937991618185,ES1 0,-5.521155105994543,41.91726952615551,ES1 8,-6.151081792593107,39.41281178823704
46,0.0,0.30627024,0.015161893,369071.66,328.56041848720685,ES1 1,-0.498247313630633,40.78999490093028,ES1 3,-1.0685533905909534,38.46729399125504
47,0.0,1.4029396,0.06945245,1268870.5,246.596959819154,ES1 1,-0.498247313630633,40.78999490093028,ES1 4,1.53223151519779,41.69378610486426
48,0.0,2.134787,0.10568252,2713177.8,346.52379590885,ES1 1,-0.498247313630633,40.78999490093028,ES1 5,-3.650686811360254,40.11061009553195
49,0.0,3.1150534,0.15421057,4230879.5,370.3177485329186,ES1 1,-0.498247313630633,40.78999490093028,ES1 6,-2.8968013540051976,42.7648961811579
50,0.0,2.9479809,0.14593965,4123033.2,381.33049981738367,ES1 1,-0.498247313630633,40.78999490093028,FR1 8,-0.4288508114936827,43.533022984491794
51,0.0,3.6348895e-06,1.7994503e-07,6.5653253,492.46389833147066,ES1 2,-5.238705483289992,37.1621830158051,ES1 3,-1.0685533905909534,38.46729399125504
52,0.0,4.3485093e-06,2.1527273e-07,7.090594,444.5816711343212,ES1 2,-5.238705483289992,37.1621830158051,ES1 5,-3.650686811360254,40.11061009553195
53,0.0,0.0787011,0.0038960942,94755.66,328.27187366731505,ES1 2,-5.238705483289992,37.1621830158051,ES1 8,-6.151081792593107,39.41281178823704
54,0.0,5.130983e-06,2.5400905e-07,6.767154,359.595999143162,ES1 3,-1.0685533905909534,38.46729399125504,ES1 5,-3.650686811360254,40.11061009553195
55,0.0,11.997775,0.59394926,11151339.0,253.416960921022,ES1 4,1.53223151519779,41.69378610486426,FR1 6,1.729674828609724,43.51121310716024
56,0.0,0.00019025068,9.418351e-06,263.19778,377.1945283469528,ES1 5,-3.650686811360254,40.11061009553195,ES1 6,-2.8968013540051976,42.7648961811579
57,0.0,1.3257829e-05,6.5632815e-07,13.819584,284.205125570832,ES1 5,-3.650686811360254,40.11061009553195,ES1 8,-6.151081792593107,39.41281178823704
58,0.0,9.517432e-06,4.7116e-07,9.49724,272.0739747935204,ES1 6,-2.8968013540051976,42.7648961811579,FR1 8,-0.4288508114936827,43.533022984491794
59,0.0,0.056693625,0.002806615,55067.645,264.83273066022,FR1 0,2.285930386191887,46.4165117639593,FR1 11,-0.1477868720375819,45.53878517204548
60,0.0,5.6950026,0.2819308,4229399.5,202.4856022457941,FR1 0,2.285930386191887,46.4165117639593,FR1 12,2.8376376341268723,45.01155887416662
61,0.0,4.948181,0.24495946,4485085.0,247.1351089284103,FR1 0,2.285930386191887,46.4165117639593,FR1 15,3.78528005906954,47.87312764625944
62,0.0,1.3263092e-05,6.565887e-07,12.461629,256.1765499907264,FR1 0,2.285930386191887,46.4165117639593,FR1 16,4.896736930824648,46.04814358794511
63,0.0,5.1458845,0.25474676,6287011.0,333.11450675565777,FR1 0,2.285930386191887,46.4165117639593,FR1 7,2.412112342234826,48.81161935613287
64,0.0,225.70892,11.173709,326708830.0,394.6585200442106,FR1 1,6.1072747878787865,45.52201024242424,FR1 15,3.78528005906954,47.87312764625944
65,0.0,2.7902313e-05,1.3813026e-06,14.148589,138.25545352184983,FR1 1,6.1072747878787865,45.52201024242424,FR1 16,4.896736930824648,46.04814358794511
66,0.0,0.055556986,0.0027503457,73486.18,360.64205748346114,FR1 1,6.1072747878787865,45.52201024242424,FR1 17,7.098681162538576,48.02632462435081
67,0.0,11.47065,0.5678539,10216859.0,242.850359100776,FR1 1,6.1072747878787865,45.52201024242424,FR1 5,6.285740340299904,43.779423181195554
68,0.0,211.91714,10.490948,134930110.0,173.60098158849965,FR1 1,6.1072747878787865,45.52201024242424,IT1 5,7.804870668635753,45.153095876777606
69,0.0,257.52136,12.748583,252488430.0,267.3237641097471,FR1 10,3.9989213172754456,49.79126178855921,FR1 15,3.78528005906954,47.87312764625944
70,0.0,4.082742,0.20211595,2605229.5,173.98162366307744,FR1 10,3.9989213172754456,49.79126178855921,FR1 3,2.42402861595888,50.53222179402777
