Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,distance_km,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
61,1.4675484999999999e-06,1.722909e-08,3566.015485,247.1351089,FR1 0,2.285930386,46.41651176,FR1 15,3.785280059,47.87312765
62,1.8870264999999999e-06,2.2964276e-08,2377.343656,256.17655,FR1 0,2.285930386,46.41651176,FR1 16,4.896736931,46.04814359
63,1386.2131,21.936075,2775.762746,333.1145068,FR1 0,2.285930386,46.41651176,FR1 7,2.412112342,48.81161936
64,2.5391048e-07,4.760335e-09,3566.015485,394.65852,FR1 1,6.107274788,45.52201024,FR1 15,3.785280059,47.87312765
65,4.2418810000000005e-06,2.785968e-08,12298.30825,138.2554535,FR1 1,6.107274788,45.52201024,FR1 16,4.896736931,46.04814359
66,2473.2895,42.372757,1188.671828,360.6420575,FR1 1,6.107274788,45.52201024,FR1 17,7.098681163,48.02632462
67,6.4569754e-06,7.4490906e-08,796.8381785,242.8503591,FR1 1,6.107274788,45.52201024,FR1 5,6.28574034,43.77942318
68,10000.0,82.4684,3566.015485,173.6009816,FR1 1,6.107274788,45.52201024,IT1 5,7.804870669,45.15309588
69,3.918104e-06,4.9756395e-08,2775.762746,267.3237641,FR1 10,3.998921317,49.79126179,FR1 15,3.785280059,47.87312765
70,10000.0,82.64922,2775.762746,173.9816237,FR1 10,3.998921317,49.79126179,FR1 3,2.424028616,50.53222179
71,6843.032,71.41195,2775.762746,219.6781927,FR1 10,3.998921317,49.79126179,FR1 4,5.960518626,48.861879
72,1171.0372,11.017139,1195.257268,198.0444864,FR1 10,3.998921317,49.79126179,FR1 7,2.412112342,48.81161936
73,10000.0,141.29056,3572.600924,297.4251867,FR1 11,-0.147786872,45.53878517,FR1 2,-1.259489523,47.53739283
74,5.993604000000001e-07,9.61422e-09,2775.762746,337.6685555,FR1 11,-0.147786872,45.53878517,FR1 6,1.729674829,43.51121311
75,5725.687,76.20655,2775.762746,280.1749553,FR1 11,-0.147786872,45.53878517,FR1 8,-0.428850811,43.53302298
76,355.77340000000004,3.0888026,2390.514535,182.7600654,FR1 12,2.837637634,45.01155887,FR1 18,3.784670783,43.88377687
77,2048.7568,22.959106,1587.090917,235.9006767,FR1 12,2.837637634,45.01155887,FR1 6,1.729674829,43.51121311
78,10000.0,100.40602,5558.110931,211.3607619,FR1 13,-3.25128578,48.2650637,FR1 2,-1.259489523,47.53739283
79,1130.8861,13.729057,11103.05098,255.5562176,FR1 14,0.590475004,48.90181715,FR1 2,-1.259489523,47.53739283
80,4.20905e-07,5.6019935e-09,2377.343656,280.170966,FR1 14,0.590475004,48.90181715,FR1 3,2.424028616,50.53222179
81,9999.998,79.35918,10306.2128,167.0559162,FR1 14,0.590475004,48.90181715,FR1 7,2.412112342,48.81161936
82,7469.1720000000005,97.466675,4362.853663,274.6934473,FR1 15,3.785280059,47.87312765,FR1 16,4.896736931,46.04814359
