Line,New_Trans_Capacity,Cost_Trans_Capacity,Line_Max_Flow_MW,distance_km,bus0,bus0_x,bus0_y,bus1,bus1_x,bus1_y
138,0.0005756037399999999,3.8458136e-05,0.0,376.2715918,FR1 14,0.590475004,48.90181715,GB0 8,-1.438350688,51.27572538
139,6.501896600000001e-05,2.647014e-06,0.0,399.5577984,DE1 14,11.75030038,51.22456746,DE1 4,11.39973609,48.35883243
140,7.6270105e-05,2.2988654e-06,0.0,220.5950437,DE1 16,7.383087925,52.70033778,DE1 8,6.782045751,51.15711695
141,6887.4626,421.20392,0.0,582.4991866,GB0 6,-3.314649048,51.51069342,FR1 2,-1.259489523,47.53739283
142,5.3891565e-05,2.4761364e-06,0.0,637.9315281,DE1 5,9.656115621,53.77222271,DE1 0,8.585665972,49.23105928
143,546.21303,35.504787,0.0,376.2715918,GB0 8,-1.438350688,51.27572538,FR1 14,0.590475004,48.90181715
144,7.704558999999999e-05,2.247251e-06,0.0,312.1080783,DE1 8,6.782045751,51.15711695,DE1 0,8.585665972,49.23105928
145,10000.0,433.71515,0.0,207.3873892,GB0 7,0.657501167,51.52831217,FR1 3,2.424028616,50.53222179
146,5.04802e-05,6.3028274e-06,0.0,699.377778,GB0 7,0.657501167,51.52831217,DE1 10,8.442956595,53.18344976
147,4041.6875,33.750565,300.0,581.8157279,IT3 0,8.7459755,39.9681955,IT1 10,10.77633958,43.87238188
