Resource,Zone,StartCap,RetCap,NewCap,EndCap
OCGT-H2_34.0,34.0,0,1.1328009949600728e-8,3.737974296556018e-5,3.7368414955610575e-5
CCGT-H2_35.0,35.0,0,9.516664988153802e-9,2.8431418347156717e-5,2.8421901682168564e-5
OCGT-H2_35.0,35.0,0,1.0927537048844693e-8,3.3266001993538394e-5,3.325507445648955e-5
CCGT-H2_36.0,36.0,0,9.273282875242477e-9,2.836047194109001e-5,2.835119865821477e-5
OCGT-H2_36.0,36.0,0,1.1241960335951304e-8,3.4429645065127824e-5,3.441840310479187e-5
CCGT-H2_37.0,37.0,0,9.277494395686127e-9,2.7984852291093954e-5,2.7975574796698268e-5
OCGT-H2_37.0,37.0,0,1.1299883151927748e-8,3.428099500469081e-5,3.426969512153889e-5
CCGT-H2_38.0,38.0,0,9.2445821863238e-9,2.748726935131661e-5,2.7478024769130286e-5
OCGT-H2_38.0,38.0,0,1.1041306348781593e-8,3.2058539668449106e-5,3.2047498362100326e-5
CCGT-H2_39.0,39.0,0,9.318102517451637e-9,2.9087553870497444e-5,2.9078235767979994e-5
OCGT-H2_39.0,39.0,0,1.096650708244407e-8,3.8636773748917396e-5,3.862580724183495e-5
CCGT-H2_40.0,40.0,0,9.274314009622569e-9,2.6900370059514878e-5,2.6891095745505254e-5
OCGT-H2_40.0,40.0,0,1.1316173424846164e-8,3.368381532157805e-5,3.36724991481532e-5
CCGT-H2_41.0,41.0,0,9.42236915156836e-9,2.8338501409499446e-5,2.8329079040347878e-5
OCGT-H2_41.0,41.0,0,1.0847241132776147e-8,3.276450662395561e-5,3.2753659382822835e-5
CCGT-H2_42.0,42.0,0,9.271385356384612e-9,2.7688089916303715e-5,2.7678818530947332e-5
OCGT-H2_42.0,42.0,0,1.126696629971407e-8,3.4015814648672216e-5,3.4004547682372505e-5
CCGT-H2_43.0,43.0,0,9.282351829244093e-9,2.922759837362027e-5,2.9218316021791025e-5
OCGT-H2_43.0,43.0,0,1.0918977937021092e-8,3.5320700277833456e-5,3.530978129989643e-5
CCGT-H2_44.0,44.0,0,9.292201668184673e-9,2.7163242522518656e-5,2.715395032085047e-5
OCGT-H2_44.0,44.0,0,1.0944140967991979e-8,3.416339403408418e-5,3.415244989311619e-5
CCGT-H2_45.0,45.0,0,9.547175713965192e-9,2.8276684073546342e-5,2.8267136897832377e-5
OCGT-H2_45.0,45.0,0,1.0916034719048212e-8,3.2882066934707256e-5,3.287115089998821e-5
CCGT-H2_46.0,46.0,0,9.320352109913214e-9,2.8272764327526797e-5,2.8263443975416883e-5
OCGT-H2_46.0,46.0,0,1.0957168543477118e-8,3.585440688955391e-5,3.5843449721010434e-5
CCGT-H2_47.0,47.0,0,9.285410570877706e-9,2.9046046909006972e-5,2.9036761498436093e-5
OCGT-H2_47.0,47.0,0,1.0929478087858155e-8,3.763945543138169e-5,3.7628525953293836e-5
CCGT-H2_48.0,48.0,0,9.286108067560006e-9,2.86926390123823e-5,2.8683352904314742e-5
